,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
150,3.02,24.09,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
151,3.11,37.07,Left,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
152,2.1,25.11,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
153,2.0,24.02,Stay,5,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
154,11.0,39.11,Stay,7,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
155,6.09,28.05,Stay,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
156,4.04,26.12,Stay,3,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
157,8.01,35.09,Stay,3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
158,4.1,27.11,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
159,0.11,26.01,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
160,7.0,31.09,Stay,7,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
161,7.1,39.0,Stay,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
162,5.03,42.02,Stay,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
163,3.09,25.07,Left,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
164,0.1,23.08,Stay,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
165,3.06,28.05,Stay,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
166,6.04,28.05,Stay,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
167,9.05,36.07,Left,7,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
168,2.08,24.12,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
169,8.1,31.01,Left,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
170,1.11,24.09,Left,7,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
171,2.01,24.08,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
172,4.1,27.11,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
173,4.02,31.04,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
174,5.04,29.05,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
175,3.1,28.0,Stay,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
176,7.09,31.08,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
177,5.03,33.05,Stay,3,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
178,4.01,28.03,Stay,6,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
179,2.07,24.11,Left,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
180,12.08,38.0,Stay,7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
181,4.0,28.11,Stay,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
182,2.02,23.06,Left,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
183,5.07,29.06,Stay,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
184,3.0,26.05,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
185,0.11,25.01,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
186,1.0,23.03,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
187,6.09,29.07,Stay,6,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
188,11.11,38.04,Stay,6,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
189,3.11,26.06,Stay,4,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
190,5.11,34.08,Left,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
191,1.11,28.04,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
192,7.01,34.03,Stay,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
193,3.0,25.08,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
194,3.06,27.07,Left,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
195,19.08,35.1,Stay,6,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
196,11.08,34.0,Stay,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
197,7.04,30.02,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
198,3.11,27.01,Stay,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
199,4.11,28.0,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
200,10.11,36.1,Stay,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
201,3.05,26.04,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
202,6.08,28.07,Stay,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
203,5.04,30.06,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
204,1.0,24.04,Stay,4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
205,5.0,27.07,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
206,2.06,29.1,Stay,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
207,2.08,28.06,Left,4,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
208,3.07,26.09,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
209,4.05,27.04,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
210,4.08,29.04,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
211,3.06,26.11,Stay,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
212,9.02,33.09,Stay,6,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
213,4.0,25.05,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
214,15.11,41.02,Stay,5,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
215,3.07,24.03,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
216,3.01,27.11,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
217,6.06,38.1,Left,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
218,4.11,29.12,Stay,6,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
219,7.11,30.11,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
220,8.0,32.12,Stay,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
221,2.08,26.0,Left,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
222,4.03,29.02,Stay,6,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
223,10.0,37.1,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
224,12.0,38.06,Stay,5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
225,5.06,35.05,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
226,4.08,28.02,Left,7,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
227,15.0,38.09,Left,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
228,6.01,36.06,Stay,5,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
229,3.06,29.05,Left,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
230,6.02,29.05,Stay,3,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
231,6.01,30.03,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
232,10.0,36.12,Left,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
233,9.0,28.12,Left,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
